list_item_id,job_id,list_item,parent,code / label 1,code / label 2,code / label 3,code / label 4
90,3,Completes and submits written service orders and reports covering all aspects of each assignment and activity.,"This position requires the individual to apply their basic technical knowledge of mechanical and electrical, as well as any prior experience for the support of building automation system engineering, programming, graphics, and closeout documentation activities for each project. A Building Automation Specialist (Level 1) performs a variety of duties related to the design, development, integration and improvement of building intelligence systems. They inspect, troubleshoot, and maintain BAS, as well as provide direction to trades or contract personnel when necessary to make repairs or adjustments. The position is primarily project/field-based on projects throughout Southern California.",written,,,
163,4,Excellent verbal and written communication skills (technical writing and presentation),Requirements:,written,oral,,
220,6,Excellent written and verbal skills to facilitate effective communication of technical ideas to management teams.,"REQUIRED EDUCATION, EXPERIENCE & SKILLS:",written,oral,interactional,
263,8,"Excellent interpersonal skills, as well as verbal and written communications",Additional Skills Applicable to the Role,interactional,oral,written,
271,9,Communicating project status and progress in both written and oral form,Design Engineer working as a member of a new product development team shall be responsible for:,written,oral,,
414,15,Have excellent written and verbal communication skills.,The following are the mandatory requirements. The candidate must:,written,oral,,
491,18,"Project Fulfillment (Technical)Entry level design and development of automation systems within a team.Modifies and maintains automation systems.Tests, troubleshoots and provides solutions to technical problems.Writes computer software and programs as necessary.Contributes to project installation, commissioning, project closure and inspections/reporting.Participate in the following project tasks:Project KickoffSystem Design / ProcurementProgramming / ConfigurationFATSAT / CommissioningClose-out Documentation",Primary Job Functions,interactional,,,
495,18,Writes computer software and programs as necessary.,Project Fulfillment (Technical),,,,
519,18,"FoundationalDemonstrates flexibility/adaptability in changing and challenging situations.Demonstrates a passion for the business and its success.Clear and concise verbal and written communication.Demonstrates a focus on customer service and attention to detail.Demonstrates a commitment to continuous personal, peer and process improvement.Fosters positive energy, creativity and teamwork across all departments/locations with a goal of furthering the company values and to support the company mission.","FunctionalPossesses Business & Financial Acumen.Possesses an appreciation of business demands (schedule, scope, budget and customer requirements).Ability to analyze and evaluate work processes, work flow and budgets to maintain successful project delivery.Demonstrates effective organizational, time management and planning skills.",style,oral,written,interactional
522,18,Clear and concise verbal and written communication.,Foundational,style,oral,written,
531,18,Fluent in verbal and written English.,Requirements,oral,written,,
539,19,"Ability to understand, make modifications to, and write programing code for equipment",(include but are not limited to the following),documentation,,,
548,19,Strong written and verbal communication skills with prevalent professional demeanor,,written,oral,behavioral,
582,21,Communication - Will be responsible for providing excellent communications (verbal/written) within area of responsibility.,Primary responsibilities:,oral,written,,
592,21,Communication - Will be responsible for providing excellent communications (verbal/written) within area of responsibility.,"Project Management - Proficient at leading small-scale projects, budget, planning, scheduling, logistics, procurement, communication, bid oversight, construction management, routine updates, qualifications.",oral,written,,
602,21,Communication - Will be responsible for providing excellent communications (verbal/written) within area of responsibility.,"Project Management - Expert at leading medium/small scale projects, budget, planning, scheduling, logistics, procurement, communication, bid oversight, construction management, routine updates, qualifications.",oral,written,,
613,21,Communication - Will be responsible for providing excellent communications (verbal/written) within area of responsibility.,"Project Management - Expert at leading large-scale projects, budget, planning, scheduling, logistics, procurement, communication, bid oversight, construction management, routine updates, qualifications.Project Support - Work within a project team, teamwork, schedule adherence, execution, start-up, commissioning, owner interaction, qualifications",oral,written,,
644,22,Advanced verbal and written communication skills including listening effectively and soliciting input from others,SKILLS & ABILITIES:,oral,written,aural,interactional
665,23,Effective interpersonal and written communication skills,"Ability to interpret blueprints, specifications and schematics",interactional,written,,
684,24,"Write, debug, and deploy code for integrating laboratory automation devices","Over the course of the next year, you will be trained and aligned to projects that will help you become capable and confident in performing the following:",documentation,,,
696,24,Ability to write tools and scripts to automate repetitive tasks,Preferred:,,,,
701,24,Excellent written and oral communication skills to a variety of audiences,Preferred:,written,oral,rhetorical,
713,25,Excellent oral and written communication skills as well as excellent computer skills,What youâ€™ll need,written,oral,,
726,26,Detailed and effective written communication skills for documenting the features tested and bugs found,Prior success using a metrics-driven approach and closed-loop feedback to improve software deliverables and improve predictability and reliability of releases,written,documentation,,
749,27,Writes computer software and programs as necessary.,Primary Job Functions,,,,
776,27,Clear and concise verbal and written communication.,Key Competencies,oral,written,,
786,27,Fluent in verbal and written English.,Requirements,oral,written,,
867,32,"Ability to write reports, business correspondence and procedure manuals.",Work Experience Requirements:,written,,,
907,34,"Write reports, business correspondence, and procedure manuals.","Our production facility is looking for an entry level Electrical & Automation Engineer to join its Maintenance & Engineering team. The purpose of this role is to ensure the correct execution of the Electrical and Automation (E&A) part of projects, plan, manage, and implement capital, maintenance and upgrade projects to continuously improve our electrical, automation and controls equipment for ABS (Automotive Body Sheet), achieving specified measurable results, following all Commonwealth Rolled Products policies and governmental regulations.",written,,,
913,34,"Excellent written and oral communication skills, interpersonal skill, and organization skill required","Comply with all safety standards and regulationsEvaluates, selects, and applies standard engineering techniques, procedures and criteria, using judgment in making minor adaptations and modifications to E&A equipment, such as PLCâ€™s, drives, etc., utilizing lean manufacturing techniques.Create contract specifications for E&A projects with regard of maximal safety, minimal downtime and optimal performance and life span of machines. Contributes to team effort by accomplishing tasks, promoting open communication with peers and providing updates to direct management.Evaluate automated equipment, processes and solve automated equipment problems. Review related manuals, blueprints, & schematic diagrams to determine tasks to be performed.Define the (E&A) norms for the plant (PLC, HMI, Hardware, etc.).Define the network layout for process networks and the interface to the plant network in cooperation with IT.Provide and maintain a back-up system for the automation software (PLC and PC) for the plant. Maintain the integrity of engineering drawings files, projects, equipment archives, and updating any deficiencies that are discovered.Develop and maintain check-lists for safety systems to guarantee optimal safety system operation.Optimize performance of (E&A) installations.Assist and lead maintenance in diagnosing equipment problems and recommend methods to prevent reoccurrence of these issues to improve reliability and reduce maintenance costs.Drive employee engagement and participation in the Company's continuous improvement programs by promoting teamwork and open and honest communications.Interact with vendors, customers, contractors and employees at all levels of the organization; able to make decisions ""under fire"".Analyze and diagnose root causes of problems and failures recommending and providing solutions to maximize uptime.Identify potential problems or opportunities related to the proper and cost effective operation and maintenance of processes to reduce costs and increase throughput.Write reports, business correspondence, and procedure manuals.Prepare and/or modify Electrical drawings, specifications, calculations, charts, and graphsProvide technical training to all applicable personnel regarding mechanical systems and functionsAssemble and review bid analyses. Make recommendations as necessary.",written,oral,interactional,
1021,40,Write great bug reports and follow best practices,,documentation,,,
1022,40,"Collaborate with stakeholders, developers, and management, negotiating and communicating about timelines, risks, and tradeoffs",,interactional,rhetorical,,
1029,40,You will receive a confirmation email,Apply through our website www.tradesy.com or any affiliate job boards and,,,,
1030,40,If we don't feel you meet the requirements for this position we will send you an email,Apply through our website www.tradesy.com or any affiliate job boards and,,,,
1069,42,Communication: Presentations of assigned projects to customers require the ability to clearly express ideas in both oral and written formats.,Teamwork: Assigned projects require multiple engineers working together to meet critical deadlines by utilizing excellent listening skills and willingly supporting coworkers on assigned projects.,rhetorical,oral,written,
1092,44,Writes automation to automatically create highly permuted layout test cases to assess process technology competitiveness.,About the role:,,,,
1112,45,"Strong knowledge of the entire Testing Life Cycle â€“ Requirement gathering & analysis, planning, design, test plan creation and, test case writing, bug reporting and implementation.","Knowledge using JIRA, Quality Center/ALM or Zephyr for test planning, execution, and defect tracking",documentation,,,
1118,47,"Improve our code quality through writing unit tests, automation, and performing code reviews.",Key Responsibilities:,documentation,,,
1148,48,Competent oral and written English communication skills.,Experience and Qualifications,oral,written,,
1158,49,Excellent written and verbal communication skills,We do not sponsor employees for work authorization in the U.S. for this position.,written,oral,,
1172,50,Good communications skills both oral and written.,Required Skills:,oral,written,,
1218,51,Strong verbal and written communication skills and ability to represent the company in a professional manner,Basic Requirements,oral,written,behavioral,
1228,51,Ability to write technical documentation when appropriate and pertinent to developed product.,Additional Skills,documentation,,,
1485,62,"Advanced verbal and written communication skills including, but not limited to, listening effectively and soliciting input from others",SKILLS & ABILITIES:,oral,written,aural,interactional
1497,63,"Provide written accounts of technical investigations and, when needed, corrective and/or preventive actions required for resolution.",Key Job Responsibilities:,written,,,
1612,67,"Ability to read, write, speak and understand English.",LANGUAGE SKILLS,written,oral,aural,
1613,67,Excellent written and verbal communication skills. Articulate with use of good grammar skills.,LANGUAGE SKILLS,written,oral,written,
1616,69,Be part of a technical support team that responds to emails and voicemails from the Technical Support Group mailbox.,Essential Job Functions:,written,multimodal,,
1689,72,Do you fix bugs before writing new code? Yes,The Joel Test,,,,
1695,72,Do new candidates write code during their interview? Yes,The Joel Test,,,,
1785,74,"Excellent verbal and written communication skills, including the ability to explain technical concepts and technologies to peers and management outside of IT",,oral,written,rhetorical,
1852,77,I successfully use both strong written and oral communication skills.,I build trust in a variety of relationships.,written,oral,,
1855,78,"Supports and participates in technical activities including detailed requirements analysis, writing test plans, executing test plans with both automated and manual methods, results analysis, and defect reporting",Job Responsibilities,documentation,,,
1857,78,Writes test procedures and protocols to assess product reliability and evaluates the ability of products to meet performance standards and specifications,Job Responsibilities,documentation,,,
1862,78,"Communicates clearly (written and oral) with the software development staff, other company personnel, and the customer as required",Job Responsibilities,written,oral,interactional,
1925,80,Strong verbal and written communications skills that are well organized and persuasive,Performs basic instrumentation and control system engineering tasks and calculations for water and wastewater treatment facilities under the direction and supervision of a Staff Instrumentation EngineerAssists in the development of P&ID's and associated I/OP&ID database manipulationPerforms basic CADD draftingSubmittal reviewPerforms specification researchAssists in development of portions of technical memorandums and specification researchWorks a part of a team on design projectsAssists in control systems designs and in the development of control system networksReviews work for discrepancies or inconsistenciesTracks details of work to discuss and resolveDevelops and improves technical knowledge and skillsMaintains professionalism in relationships with other office and team membersPlans what needs to be communicated and how to present the information effectivelySeeks out company and client technical standards and implements them on projectsConstructively builds and maintains relationships with others on the project design teamTravel required when requestedMakes site visits to observe during construction and operation,oral,written,style,rhetorical
1939,82,Excellent verbal and written communication skills,,oral,written,,
1958,83,Be able to get started with reading and writing entry level code in this language without too much spin up time,,,,,
2033,88,Excellent written and oral communication skills including presentation experience to large and diverse audiences.,Other:,written,oral,multimodal,rhetorical
2080,91,Excellent written and spoken communication skills,,written,oral,,
2106,92,Ability to write/amend process documentation that is understandable for those with limited technical background.,,documentation,,,
